id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized,stem_length
9-237,La pollution est,"{'text': array(['Poisson nageant dans la mer', 'Le vent transportant des graines',
       'arbres dans une forêt', ""jetant une gomme dans l'océan""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la pollution est lorsque l'homme pollue l'environnement avec des polluants,1.0,2.0,cee82219a0,16
7-766,Sunlight peut,"{'text': array(['rendre les yeux plus visibles', ""rebondir d'une tige"",
       'créer un vrai problème', 'aveugle un gnome de jardin'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,la lumière pénètre dans l'œil par la pupille,0.8,1.0,b356d338b7,13
10-515,Certains poissons sont,"{'text': array(['cannibales', 'Sécher', 'Animaux terrestres', 'Magie'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,carnivores ne mangent que des animaux,1.0,0.8,cee82219a0,22
14-132,Après une tempête,"{'text': array([""l'eau potable sera en manque d'approvisionnement"",
       'les étangs peuvent sécher',
       'les lits de ruisseaux peuvent déborder',
       'les fleurs se flétriront et se flétriront'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"à mesure que la sécheresse augmente dans un environnement, l'eau disponible dans cet environnement diminuera",1.0,2.0,52dbc5c7af,17
14-606,Le manteau est,"{'text': array(['colère', 'magie', 'passion', 'vrac solide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le manteau est une couche de la terre,1.0,2.0,cee82219a0,14
13-529,Lequel est vrai ?,"{'text': array([""les glaciers font des dépressions que l'eau peut réunir dans"",
       'les lions chassent les glaciers dans la nature',
       'les glaciers sont généralement des objets à haute température',
       'glaciers peuvent changer de direction rapidement pour la vitesse'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un glacier provoque des intempéries mécaniques,1.0,2.0,7b06152ffc,17
13-581,Lequel est vrai ?,"{'text': array(['ballons et étoiles sont composés exactement des mêmes matériaux',
       'ballons et étoiles sont de la même taille',
       'étoiles et ballons partagent certains des mêmes gaz',
       'ballons et étoiles contiennent du sodium'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une étoile est faite de gaz,1.0,1.8,7b06152ffc,17
10-1117,Un arbre est mort,"{'text': array([""quand un raton laveur s'écrase, c'est le coffre"",
       ""quand un castor l'utilise pour arrêter une rivière qui coule"",
       'quand un opossum se cache dans ses branches',
       'quand une chouette y vit'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,si un arbre tombe alors cet arbre est mort,0.8,0.8,a8ecf6eaeb,17
11-687,Parfois des oiseaux,"{'text': array(['danser pour attirer les prédateurs',
       ""cacher les graines d'autres oiseaux en les enterrer"",
       ""cacher les graines dans les arbres creux à manger pendant l'hiver"",
       'provoquer la propagation des plantes en cacassant les objets dures trouvés dans les fruits'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les oiseaux sont un véhicule pour répandre les graines d'une plante,1.0,1.6,3f32b550f3,19
13-217,Quand est-il plus chaud ?,"{'text': array(['désert', 'nuit', 'matin', 'midi'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le soleil est situé directement au-dessus à midi,0.8,1.4,7b06152ffc,25
12-188,Une salamandre est,"{'text': array(['éteint', 'bipède', 'sang froid', 'sang chaud'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un amphibiens est de sang-froid,1.0,1.6,78e0a411ed,18
13-818,Le caoutchouc gardera,"{'text': array(['chaleur de propagation', 'Balles de rebondissement',
       'Roues de roulement', 'les rondelles de glisse.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le caoutchouc est un isolant thermique,1.0,2.0,c1e2e5a65e,21
14-1415,Qui est enseigné ?,"{'text': array(['marchant debout', 'cheveux rouges',
       'éviter les odeurs désagréables', 'pour nettoyer le plancher'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,faire des tâches est une caractéristique apprise,1.0,2.0,7c933a44d8,18
14-714,Lequel est le plus chaud ?,"{'text': array(['la neige sur sa voiture', 'un fer récemment utilisé',
       'un cône de sorbet arc-en-ciel', 'une tasse de thé glacé'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une substance chaude est une source de chaleur,1.0,2.0,7b06152ffc,26
1154,Qui est un solide ?,"{'text': array(['Aide au kool', 'urine', 'hélium', 'sculpture sur glace'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,La matière en phase solide a une forme définie,1.0,1.6,a9f90f5da1,19
7-337,Le recyclage se produit,"{'text': array(['lorsque le charbon est transformé en énergie thermique',
       'lorsque les combustibles fossiles sont utilisés par les voitures',
       'quand les plaques de mousse de styro sont transformées en poubelles',
       'quand les vieilles bouteilles Pepsi sont transformées en t-shirts'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,Un exemple de recyclage est l'utilisation d'un objet pour créer un nouvel objet,1.0,2.0,a8ecf6eaeb,23
13-174,le sol est formé par,"{'text': array(['bouteilles en plastique cassées', 'tomber du ciel',
       ""les fumées provenant des gaz d'échappement des voitures"",
       ""animaux marchant sur des feuilles mortes et l'écraser en morceaux""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le sol se forme par érosion des roches,1.0,2.0,6240cdfd8d,20
10-721,En raison des intempéries,"{'text': array(['de grands sous-marins sont construits',
       'de nouveaux vélos sont courus', 'trous dans la voie',
       '2ème histoire des maisons sont construites'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,l'altération signifie décomposer les matériaux de surface des plus gros entiers en petits morceaux par temps,1.0,1.2,52dbc5c7af,25
13-719,Qu'est-ce qui relâche le sol ?,"{'text': array(['fer', 'ennuyeux', 'métaux', 'soleil'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,tunnels dans le sol desserrer ce sol,0.8,1.8,1e6dc77bb6,30
14-534,La fonte des glaces s'érode,"{'text': array(['nuages', 'végétaux', 'granit', 'rivières'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,l'eau provoque le plus d'érosion du sol et des roches,0.8,1.6,7c933a44d8,27
13-722,Ce qui peut se reproduire,"{'text': array(['Spoon', 'Clavier', 'Chat décédé', 'Chien vivant'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les êtres vivants peuvent tous se reproduire,1.0,2.0,18aeb380fd,25
826,Le maïs peut parfois,"{'text': array(['être cultivés dans des environnements arctiques',
       'être utilisé comme brassage', 'carburant une locomotive à vapeur',
       'carburant une voiture économique'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,l'éthanol est parfois fait de maïs,1.0,1.6,a8ecf6eaeb,20
10-869,Les chevaux de mer exigent,"{'text': array(['harnais en cuir', 'jockeys', 'étalons noirs', 'le soleil'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le soleil est la source d'énergie pour la vie sur Terre,1.0,2.0,7c933a44d8,26
14-876,Les décharges peuvent causer,"{'text': array(['pollution sonore', 'surpopulation', ""surcroissance de l'herbe"",
       'mauvaises odeurs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,une décharge est une source de pollution,1.0,2.0,b7b9b1d4ec,28
7-969,Ressources renouvelables,"{'text': array(['proviennent souvent de combustibles fossiles',
       'prendre des siècles à biodégrader',
       'peut être utilisé ad infinium', 'doit être utilisé avec prudence'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les ressources renouvelables peuvent être réutilisées,1.0,2.0,a8ecf6eaeb,24
10-1142,Le soleil est bon pour,"{'text': array(['Autres', 'Produits', 'Bâtiments', 'Voitures'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une planète est exposée à la chaleur de l'étoile autour de laquelle elle tourne,1.0,1.2,cee82219a0,22
12-786,Une échelle peut mesurer,"{'text': array(['javascript', 'intentions', 'sélections de guitare', 'pensées'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une échelle est utilisée pour mesurer le poids,1.0,1.0,7c933a44d8,24
13-245,Les ours polaires vivent dans,"{'text': array(['déserts', 'zones enneigées', 'appartements', 'zones chaudes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,ours polaires vivent dans des environnements froids,1.0,2.0,78e0a411ed,29
12-64,Le teck se trouve dans,"{'text': array(['feuilles de glacier', 'chansons bleues', 'des bosquets',
       'tranchées sous-marines'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,si quelque chose est une matière première alors que quelque chose vient directement d'une source,1.0,2.0,7c933a44d8,22
12-919,Que peut-on renouveler?,"{'text': array(['plastiques', 'cuir', 'charbon', 'diesel'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une ressource renouvelable peut être renouvelée,0.8,1.6,78e0a411ed,23
12-686,Quels sont les oiseaux ?,"{'text': array(['personnes', 'mangeurs de créatures', 'poissons', 'solaire'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,certains oiseaux sont des prédateurs,0.8,1.2,1e6dc77bb6,24
12-941,Le fer peut être trouvé sur,"{'text': array(['zones rocheuses', 'fourmis', 'les magiciens', 'licornes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les roches contiennent parfois du fer,1.0,1.8,cee82219a0,27
1228,Une mine de charbon est quoi ?,"{'text': array(['une personne qui exploite du charbon', 'un type rare de pierre',
       'un lieu où le charbon est traité',
       'une mine qui est sous la terre où le charbon est trouvé'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la mine de charbon est une source de charbon sous le sol,1.0,1.8,b356d338b7,30
13-455,les humains mangent parfois,"{'text': array(['récipients de reproduction végétale', 'licornes', 'lave',
       'nuages'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les humains mangent parfois des graines,1.0,2.0,6240cdfd8d,27
13-1057,Une séquoia géante morte,"{'text': array(['se transforme en gui', 'des mouches loin',
       'gouttes aiguilles de pin', 'chute'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,si un arbre tombe alors cet arbre est mort,1.0,1.8,7c933a44d8,24
7-681,Les abeilles sont attirées par,"{'text': array(['une plante liquide riche en sucre produit',
       ""l'odeur des étamines de fleurs"",
       'une plante liquide riche en oxygène produit',
       'les fleurs du champ magnétique donnent'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le nectar est utilisé pour attirer les pollinisateurs par les plantes,1.0,1.4,a8ecf6eaeb,30
12-1158,Après toute chose,"{'text': array(['décomposer', 'gel dans le temps', 'devenir vif', 'régénérer'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,pourriture des organismes morts,1.0,1.8,dc78319bb0,17
13-211,Qu'est-ce qui donne de la lumière ?,"{'text': array(['grumes', 'terre', 'eau', ""exercices d'incendie""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le feu dégage la lumière,1.0,2.0,1e6dc77bb6,35
14-1306,Lions et zèbres vivent,"{'text': array(['dans différents environnements', ""près l'un de l'autre"",
       'dans différents habitats', 'loin de la Terre'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,la plupart des prédateurs vivent près du même environnement que leurs proies,1.0,2.0,7c933a44d8,22
14-1064,quoi ?,"{'text': array(['cornichons', 'gels', 'évaporation', 'fondus'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,bois sec brûle facilement,1.0,2.0,1e6dc77bb6,6
10-806,Quelles sont les causes des inondations?,"{'text': array(['sécheresse', 'sécheresses', 'soleil', 'déluges'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,de fortes pluies provoquent des inondations,1.0,2.0,1e6dc77bb6,40
712,Conduction thermique,"{'text': array(['température ambiante eau assise sur un comptoir',
       ""les pattes d'un chien touchant la chaussée brûlée d'été"",
       'parties de gâteaux empilées dans un four',
       'glace touchant la glace dans un congélateur'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"lorsqu'un objet plus frais touche un objet plus chaud, la conduction thermique se produit",0.8,1.2,a8ecf6eaeb,20
13-915,Quoi ?,"{'text': array(['lumière', 'éléments', 'jeunes enfants', 'rien'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une progéniture maternelle,1.0,2.0,1e6dc77bb6,6
7-1167,Un aimant s'en tiendra à,"{'text': array(['une boucle de ceinture', 'une table en bois',
       'une tasse en plastique', 'une plaque de papier'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un aimant attire les métaux magnétiques par le magnétisme,1.0,2.0,83ad69bf22,24
13-478,Honolulu a été formé par,"{'text': array(['les dieux', 'une crevasse volcanique', 'une vague de marée',
       'un typhon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,les montagnes sont formées par des volcans,1.0,1.8,dc78319bb0,24
10-791,que font les planètes en orbite ?,"{'text': array(['astéroïdes', 'lunes', ""boule d'hydrogène brûlante"",
       'ils sont sans orbite'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,planètes orbite étoiles,0.83,1.0,6240cdfd8d,33
7-521,Un disperseur peut,"{'text': array(['laisser les choses', 'casser les choses', 'rediriger les choses',
       'raccourcir les choses'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un disperseur disperse,1.0,1.4,b356d338b7,18
14-1386,Un glacier est fabriqué à partir de,"{'text': array(['les mêmes choses que les crayons sont fabriqués à partir',
       'la même chose que la vapeur',
       'la même chose que le gaz qui allume les panneaux',
       'la même chose que le gaz qui remplit les ballons'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,un glacier est fait de glace,1.0,2.0,be7a45e47c,35
9-213,les causes des dépôts,"{'text': array(['conduction électrique', 'déplacement de la terre',
       'explosions atomiques', 'condensation'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,l'érosion provoque des dépôts,1.0,1.2,0d935542d3,21
14-887,Quoi ?,"{'text': array(['migrations', 'phase de conversion', 'amélioration', 'chirurgie'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une mite subit une métamorphose,0.8,1.6,1e6dc77bb6,6
12-782,que font les planètes en orbite ?,"{'text': array(['volcans', 'lumière des étoiles', 'êtres astrals', 'personnes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,planètes orbite étoiles,0.8,1.6,1e6dc77bb6,33
13-164,La transpiration survient,"{'text': array([""le fruit d'un poirier"", ""les graines d'un arbre"",
       ""les appendices plats sur les organismes qui dégagent de l'oxygène"",
       ""les poumons d'un chien""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,la transpiration se produit habituellement dans les feuilles d'une plante,1.0,1.8,3f32b550f3,25
9-923,le charbon est une ressource qui,"{'text': array(['construit avec difficulté', 'rend tout sanitaire',
       'brille dans la lumière', ""refroidit l'air""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le charbon est une ressource non renouvelable,1.0,1.2,0d935542d3,32
13-763,Les lapins peuvent être trouvés dans,"{'text': array(['magazines sales', 'réacteurs nucléaires', 'faisceaux de lune',
       'zones boisées'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,certains lapins vivent dans des forêts,1.0,2.0,7c933a44d8,36
1944,Condensation pendant la nuit,"{'text': array(['conduit à des conditions extrêmement sèches',
       ""peut conduire à l'herbe glissante"",
       'les plantes se fanent et meurent',
       'cause de la glace noire sur les ponts'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,la rosée se forme lorsque la vapeur d'eau se condense la nuit,0.8,1.8,a8ecf6eaeb,28
14-642,Cette graine porte des aliments:,"{'text': array(['pierre', 'fraises', 'tonnerre', 'eau'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une semence est utilisée pour stocker des aliments pour une nouvelle plante,1.0,1.8,7b06152ffc,32
12-80,Le temps peut faire quoi ?,"{'text': array(['changer une sculpture en poussière',
       'construire une ville sidérurgique', ""voyage dans l'espace aérien"",
       'créer un vortex de voyage dans le temps.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,Un exemple d'altération est quand une racine de plante pousse dans une fissure dans la roche,0.8,1.4,cee82219a0,26
13-615,Un bon mélange serait,"{'text': array([""eau et huile d'olive"", ""crème de café et d'amande"",
       'sel et tacos frais', 'sucre et lait congelé'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,Un exemple de mélange est l'argile mélangée,1.0,1.8,b356d338b7,21
11-475,Lequel est le plus précis?,"{'text': array(['une fourmi reçoit de la nourriture de la photosynthèse',
       'un chien reçoit de la nourriture de la photosynthèse',
       'un gorille reçoit de la nourriture de la photosynthèse',
       'un palmier reçoit de la nourriture de la photosynthèse'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un producteur produit sa propre nourriture,1.0,2.0,7b06152ffc,26
12-1137,Laquelle est la plus précise?,"{'text': array(['les barrages peuvent capturer des rafales puissantes et exploiter leur puissance',
       'les moulins à vent peuvent capturer des éclairs et exploiter leur puissance',
       'les barrages peuvent capturer des éclairs et exploiter leur puissance',
       'les moulins à vent peuvent capturer des rafales puissantes et exploiter leur puissance'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le vent est une source d'énergie,1.0,2.0,7b06152ffc,29
9-200,"Si le soleil est couché, c'est","{'text': array(['facile à cuisiner un repas',
       'le temps de manger le petit déjeuner',
       'nécessaire pour porter un manteau',
       ""plus difficile à voir à l'extérieur""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,si c'est la nuit alors le soleil s'est couché,1.0,1.2,c8d24331a4,30
14-739,Robins dévore souvent,"{'text': array(['roches', 'bois', 'colle', 'sauterelles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les oiseaux mangent parfois des insectes,1.0,2.0,dc78319bb0,21
12-1056,Les poumons donnent O2 au,"{'text': array(['flux sanguin', 'voisin', ""de l ' ozone"", 'pauvres'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le système respiratoire transfère l'oxygène au système circulatoire,1.0,2.0,dc78319bb0,25
11-280,Une façon de se reproduire est de,"{'text': array(['plats végétaux', ""produire de l'ovum"", ""faire de l'argent"",
       'tapis de litière'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,Un exemple de reproduction est la ponte des œufs,1.0,2.0,b356d338b7,33
13-705,la lumière peut voyager à travers,"{'text': array(['arbres', 'roches', 'lieux sans importance', 'caoutchouc'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,la lumière peut voyager dans un vide,0.8,2.0,6240cdfd8d,33
10-1120,Les reptiles peuvent être,"{'text': array(['grincheux', 'sans cerveau', 'magique', 'cervidés de pois'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,reptiles pondent des œufs,1.0,1.2,cee82219a0,25
13-234,Le pas dans un lac provoque,"{'text': array(['tsunamis', 'ondulations', 'typhons', 'tremblements de terre'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,déposer un objet dans l'eau provoque des vibrations dans l'eau,1.0,2.0,dc78319bb0,27
13-899,Pêcheur chasse en utilisant,"{'text': array(['pêcheurs', 'armes à lance', 'éclairage', 'pôles de pêche'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,la production de lumière est utilisée pour attirer les proies de certains animaux d'eau profonde,1.0,2.0,dc78319bb0,27
13-761,"Si un chien chasse, alors","{'text': array(['il peut sentir des baleines à proximité',
       'il peut sentir des jouets autour', 'il devient fatigué',
       ""il peut sentir quelque chose en utilisant l'olfactif""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,l'odeur est utilisée pour trouver de la nourriture par certains animaux,1.0,2.0,52dbc5c7af,25
12-251,À quoi sert une radio?,"{'text': array(['rayonnement', 'contact humain', 'énergie', 'eau'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une radio est utilisée pour la communication,1.0,1.8,1e6dc77bb6,22
10-227,Exemples d'hypothèses,"{'text': array(['Le 11 septembre était une attaque terroriste',
       'La pluie tombe du ciel', ""Poisson nager dans l'eau"",
       ""Boire des boissons sucrées quotidiennement conduit à l'obésité""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,hypothèse signifie la conjecture scientifique sur la cause et l'effet d'un événement,0.86,0.71,cee82219a0,21
12-1057,"Si un log est froid, il est dans","{'text': array(['un four', 'un incendie', 'un grille-pain', 'une toundra'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,quelque chose dans un endroit froid devient froid,1.0,2.0,b356d338b7,32
14-744,Un producteur fait sa propre production :,"{'text': array(['la nourriture', 'air', 'abri', 'corps'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un producteur produit sa propre nourriture,0.8,1.6,52dbc5c7af,41
7-663,Dans une décennie le printemps se produit,"{'text': array(['trois fois', 'douze fois', 'dix fois', 'deux fois'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,chaque saison se produit une fois par an,1.0,2.0,7189327f06,41
13-253,humide signifie haut dans quoi ?,"{'text': array(['humidité', 'chaleur', 'profondeur', 'température'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,humidité élevée,0.8,2.0,1e6dc77bb6,32
14-1168,Certains humains vivent dans quoi ?,"{'text': array(['lacs', 'arbres', 'océans', 'maisons'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,certains humains vivent dans des maisons,1.0,1.6,1e6dc77bb6,35
7-229,Une plante spécifique est trouvée,"{'text': array(['dans certaines régions', ""dans l ' espace"", 'nulle part',
       'dans tous les domaines'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une plante a besoin d'un climat spécifique pour croître et survivre,0.8,0.6,7189327f06,33
10-52,Une source de chaleur pourrait être,"{'text': array(['un cube de glace', 'un ventilateur', 'tenir les mains',
       'un flocon de neige'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un radiateur est une source de chaleur,1.0,2.0,cee82219a0,35
13-382,Quelqu'un cesse de vivre quand,"{'text': array(['Ils ont coupé leurs cheveux',
       'Ils mettent leur tête dans une poubelle', 'Ils sont sans air',
       'Ils mangent de la nourriture dégoûtante'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,si une chose vivante meurt alors cette chose vivante est morte,1.0,1.6,77e0532fb7,30
10-793,Un animal qui grince a,"{'text': array(['quatre jambes', 'fourrure', 'dents', 'ailes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,poulets cueillir,1.0,0.83,7189327f06,22
781,Les plaques tectoniques se déplacent,"{'text': array(['fractures planes', ""lignes d'erreur"", 'fractures triangulaires',
       'ligne de défaut'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une plaque tectonique se déplace le long d'une ligne de faille,1.0,1.4,a8ecf6eaeb,36
12-313,L'énergie de la Terre crée,"{'text': array(['Le bonheur', 'Amour', 'La colère', 'une création magnétique'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la Terre absorbe plus d'énergie qu'elle ne perd,1.0,2.0,cee82219a0,26
13-299,Les serpents d'herbe vivent dans quoi ?,"{'text': array(['arbres', 'rivières', 'montagnes', 'gazon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,serpents d'herbe vivent dans l'herbe,1.0,1.6,1e6dc77bb6,39
