,id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
1112,217,A piece of paper is a different shape when it,"{'text': array(['is made into a paper fan', 'is on a desk', 'has a drawing on it',
       'has words on it'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,folding an object causes that object to change shape,1.0,2.0,7189327f06
1113,8-420,"There are some decorative fruits used for holidays where the outside is carved, such as large orange ones. The insides of these fruits, similar to gourds, most commonly","{'text': array(['may have moisture removed and inside parts are devoured',
       'may be burned and thrown away', 'may be mixed with sand',
       'may be used in concrete'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a pumpkin contains seeds,0.8,1.4,b356d338b7
1114,8-348,"In order to conserve energy and eat less through winter, what kind of animal or insect hibernates?","{'text': array(['Chairs', 'Birds', 'Humans', 'Bees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,if an animal relies on plants for food then that animal must store enough food to last through the winter,0.8,1.8,cee82219a0
1115,7-521,A disperser is able to,"{'text': array(['leave things', 'break things', 'redirect things',
       'shorten things'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a disperser disperses,1.0,1.4,b356d338b7
1116,9-427,herbivores do what with plants,"{'text': array(['burn them', 'garden them', 'trade them', 'snack on them'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,herbivores only eat plants,1.0,2.0,0d935542d3
1117,7-883,A white bear lives in a place that is,"{'text': array(['hot', 'cold', 'dark', 'dense'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,polar bears live in cold environments,1.0,1.8,7189327f06
1118,357,As a liquid's temperatures get hotter,"{'text': array(['ice cream will deliquesce faster when the liquid is poured over it',
       'rocks will melt faster when the liquid is poured over it',
       ""the liquid will harden as it's poured"",
       'the liquid will cool down anything it touches'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as temperature increases , the ability of that liquid to dissolve solids will increase",1.0,1.6,a8ecf6eaeb
1119,1826,What does a seismograph measure?,"{'text': array(['the motion produced by underground collisions',
       'the quaking of a man in fear',
       'how strong the earth quakes beneath a stampeding herd',
       'how strong waves can break plates'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a seismograph is used for measuring the size of an earthquake,0.8,1.6,b356d338b7
1120,8-320,which of these would result in reversal of desertification?,"{'text': array(['sowing a seed for each felled tree',
       'cutting down as many trees as possible',
       'taking all the water away from deserts', 'all of these'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a tree can be replaced by planting a new tree,1.0,2.0,cf7109905e
1121,110,Where would you hear sound reflecting off surfaces?,"{'text': array(['canyon', 'outer space', 'in the ocean', 'in a vacuum'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,echo is when sound reflects off of a surface,1.0,2.0,be7a45e47c
1122,707,What temperature is most likely to result in sweat?,"{'text': array(['0 degrees Celsius', '95 degrees Fahrenheit', '34 degrees Celsius',
       '33 degrees Celsius'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,sweat is used for adjusting to hot temperatures by some animals,0.8,1.8,64d9056837
1123,267,"when a tadpole changes into a frog, the tadpole is like","{'text': array(['a maggot', 'a lamb', 'water', 'a grape'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,tadpole changes into a frog,1.0,1.6,a9f90f5da1
1124,71,Shedding is when an animal?,"{'text': array(['gets rid of its winter coat', 'grows taller',
       'speaks at a higher volume', 'eats its food'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,shedding is when an animal loses hair,1.0,2.0,123d66ccd7
1125,9-565,What will become magnetic in an electromagnet if the battery becomes active?,"{'text': array(['A construction nail', 'A plastic nail', 'A nail box',
       'A wooden nail'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if battery in an electromagnet is active then the nail in the electromagnet will become magnetic,1.0,2.0,1e6dc77bb6
1126,1552,Plants require,"{'text': array(['oxygen', 'H2O', 'Fe', 'clouds'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a plant requires water to grow,0.8,1.0,a8ecf6eaeb
1127,8-325,"A woman wants to make sure that she can physically look back over memories of a day, as they progress, whenever she wants, so she","{'text': array(['brings a phone', 'brings a camera', 'brings a book',
       'brings a lunch'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a camera is used for recording images,1.0,1.8,b356d338b7
1128,1014,An animal that may like a banana peel is a,"{'text': array(['bear', 'raccoon', 'cat', 'dog'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,raccoons eat waste,1.0,1.4,7189327f06
1129,7-298,A way in which sound may be heard is,"{'text': array(['eating out of a bowl', 'moving pots and pans',
       'moving a cardboard box', 'a small plastic cup'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,matter vibrating can cause sound,1.0,0.4,b356d338b7
1130,741,To survive some moths have developed,"{'text': array(['loud voices to scare off predators',
       'prehensile thumbs to help them grab things',
       'large wings that make them more visible',
       'wing patterns that allow them to blend into with leaves'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,adaptation is when an organism develops a trait over time for survival,1.0,2.0,a8ecf6eaeb
1131,9-809,which of these students will see the teacher larger?,"{'text': array(['a boy sitting in front', 'a girl in the back',
       'a boy outside the class', 'a girl in the middle'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as distance to an object increases , that object will appear smaller",0.8,2.0,cf7109905e
1132,64,Lions eat animals,"{'text': array(['in a different environment from where they live', 'in the water',
       'underground', 'in the same environment where they live'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,most predators live in the same environment as their prey,1.0,2.0,7189327f06
1133,1254,Cutting down a tree,"{'text': array(['ceases its ability to grow', 'will cause it to grown 10x bigger',
       'will decrease the likelihood of deforestation',
       'will cause the tree to flourish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if a tree is cut down then that tree will die,1.0,2.0,a8ecf6eaeb
1134,7-40,Where do soil nutrients also exist?,"{'text': array(['in organism foods', 'in the air', 'in the barn', 'in the water'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if some nutrients are in the soil then those nutrients are in the food chain,1.0,1.2,cf7109905e
1135,9-445,what role does some plankton have that is similar to farmer in ohio?,"{'text': array(['needs food', 'produces food', 'can get sick', 'lives in ocean'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,In the food chain process some types of plankton have the role of producer,1.0,1.8,52dbc5c7af
1136,401,Which of the following might use Chia to fuel it?,"{'text': array(['Bird', 'Kite', 'Plane', 'Jet'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,birds sometimes eat seeds,1.0,1.6,e57e0b59c9
1137,1656,Events like thunderstorms and _______ can cause animals to leave an environment.,"{'text': array(['car crashes', 'solar eclipses', 'more available food', 'tsunamis'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,natural disasters can cause animals to leave an environment,1.0,1.8,123d66ccd7
1138,355,A plant performs less photosynthesis in,"{'text': array(['September', 'March', 'December', 'June'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a leaf absorbs sunlight to perform photosynthesis,1.0,2.0,7189327f06
1139,8-184,A landslide has,"{'text': array(['Multiple causes', 'Unicorns', 'Airplanes', 'Fires'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,landslides often occur on mountains,1.0,1.6,cee82219a0
1140,8-254,If a climate becomes colder over time,"{'text': array(['bears that have sparse fur with thrive',
       'bears that develop thin pelts will thrive',
       'bears that carry little fat will thrive',
       'bears that grow heavier pelt will survive'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,changes in an environment cause animals to adapt to survive,1.0,2.0,a8ecf6eaeb
1141,783,Earlier in their lives many amphibians ate,"{'text': array(['meat', 'flies', 'beetles', 'algae'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,tadpole changes into a frog,1.0,1.6,7189327f06
1142,1217,Fossil fuels,"{'text': array(['are a renewable resource', 'have an unending supply',
       'can last for eons in the future', 'are a dwindling commodity'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,fossil fuels are a nonrenewable resource,1.0,2.0,a8ecf6eaeb
1143,8-439,Consuming a hot liquid can,"{'text': array(['Remove years of rust on a knife', 'sooth a pained esophagus',
       'Cleanse the soul for God', 'Cure blindness in a child'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,if liquid is boiling then that liquid is hot,1.0,2.0,cee82219a0
1144,9-887,My dad gave me,"{'text': array(['my head windows', 'a building', 'air', 'the sun'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,offspring receive genes from their parents through DNA,0.8,0.4,cee82219a0
1145,9-842,Snowfall takes place during the winter in what area?,"{'text': array(['Arctic', 'Atlantic', 'Rain forest', 'Tropics'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,snow falls during the winter in the arctic environment,1.0,1.8,6fcf2544e8
1146,121,Which location does not get snow in the winter?,"{'text': array(['San Bernardino', 'Sault St. Marie', 'St. Paul', 'St. Louis'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,snow falls during the winter in some environments,1.0,2.0,be7a45e47c
1147,9-423,"There are nutrients in dirt, like magnesium, and those nutrients may be","{'text': array(['poisoned', 'collected into vegetation', 'set on fire',
       'taught to read'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,if some nutrients are in the soil then those nutrients are in the food chain,0.8,1.8,b356d338b7
1148,7-763,"If you plug this into an outlet, current will flow through it.","{'text': array(['sword tip', 'rubber', 'plastic', 'air.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,sending electricity through a conductor causes electric current to flow through that conductor,1.0,2.0,0317ce7c33
1149,8-87,If you viewed an eclipse from the moon,"{'text': array(['You would transport to another dimension', 'It would change time',
       'You would be thrown off the moon', 'it would go in reverse'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,the moon orbits the Earth,1.0,1.6,cee82219a0
1150,8-323,"in order for utility of a tool to occur, what has to happen first?","{'text': array(['it needs to be cleaned', 'none of these',
       'it needs to be baptized', 'it needs to be invented'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,inventing a tool allows that tool to be used,0.8,1.2,cf7109905e
1151,888,A bird eating a lizard is an example of what type of relationship?,"{'text': array(['symbiotic', 'producer', 'parasitic', 'predatory'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,hawks eat lizards,1.0,1.6,9d751854d9
1152,1365,Trees grow growth-rings one time each year; so which of these is correct?,"{'text': array(['a tree with nine rings is nine years old',
       'a tree with six rings is seven years old',
       'a tree with eight rings is five years old',
       'telling how old a tree is is impossible based on rings'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a tree growing a tree-growth ring occurs once per year,1.0,2.0,b356d338b7
1153,1646,To survive living things,"{'text': array(['need money', 'need Pu', 'need H2O', 'need hunting skills'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,living things require water for survival,1.0,1.4,a8ecf6eaeb
1154,773,Which cannot be an example of crop rotation?,"{'text': array(['planting tomatoes one year and alfalfa the next',
       'planting zucchini one year and beans the next',
       'planting bell peppers one year and hot peppers the next',
       'planting corn one year and lelttuce the next'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,crop rotation is when different crops are planted on a field in different years,0.8,1.6,be7a45e47c
1155,9-1176,"of one misses the surf tide in the morning, will they get another chance?","{'text': array(['they have zero chance', 'they are still in luck',
       'it is too late', 'all of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the tide cycle regularly occurs twice per day,1.0,1.6,cf7109905e
1156,9-613,"if you push something harder, it will","{'text': array(['increase in length', 'travel less distance', 'cover more length',
       'remain in place'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"as force exerted on an object increases , distance travelled will increase",1.0,2.0,0d935542d3
1157,9-927,which one of these students can accurately determine the color of the board marker?,"{'text': array(['a student gazing upon it', 'a student in the toilet',
       'a student sitting at home', 'a student at the playground'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the color of an object can be discovered by looking at that object,1.0,2.0,cf7109905e
1158,9-1041,What do some animals use to adapt to hot temperatures?,"{'text': array(['perspiration', 'eating', 'fire', 'blankets'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,sweat is used for adjusting to hot temperatures by some animals,1.0,2.0,1e6dc77bb6
1159,567,What is an example of combining,"{'text': array(['adding H2O to water', 'pouring NaCl into salt',
       'adding carbon dioxide to CO2', 'blending eggs into cake batter'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,An example of combining two substances is pouring one substance into the other substance,0.8,1.6,a8ecf6eaeb
1160,297,Pushing on a pedal is an example of,"{'text': array(['force', 'patching', 'practice', 'speed'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,pushing on the pedals of a bike cause that bike to move,1.0,2.0,a9f90f5da1
1161,9-131,Electrical conduction would be when a voltage flows through,"{'text': array(['a central nervous system', 'a long tree branch',
       'a piece of steel wool', 'a body of water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,electrical conduction is when metals conduct electricity through metal,0.8,1.4,c1e2e5a65e
1162,323,Which example best shows the effect of vibration on matter?,"{'text': array(['a paper airplane', 'a harpsicord', 'a pillow', 'box of candy'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"as the amount that matter vibrates increases , sound produced increases",1.0,1.8,a9f90f5da1
1163,7-245,"When broken down, what happens to an object's shape and mass","{'text': array(['it turns to water', 'it shall be broken', 'it is then altered',
       'it stays the same'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,breaking down an object changes that object 's shape and mass,0.8,1.2,cf7109905e
1164,9-976,Leaves are the part of a plant with the most a type of,"{'text': array(['root', 'bud', 'bacteria', 'specialized compartment'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,most chloroplasts are found in the leaves of a plant,0.8,1.6,7189327f06
1165,105,Which location gets the most sunlight?,"{'text': array(['northern Canada', 'northern Russia', 'Brazilian rainforest',
       'Sahara'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a desert environment usually has a lot of sunlight,1.0,2.0,be7a45e47c
1166,7-94,"When animals need to recharge, they are unable to use electricity, and therefore","{'text': array(['take naps', 'rely on fat', 'use fuel sources', 'rely on calories'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,food is a source of energy for animals,1.0,1.4,b356d338b7
1167,1989,What is an example of wiring requiring an electrical conductor?,"{'text': array(['a light switch turning on lights because of steel inside the wiring',
       'a toasting failing because it used aluminium',
       'a lightbulb burning out because of a faulty connection',
       'a power outage because of an electrical storm'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,wiring requires an electrical conductor,0.8,1.6,b356d338b7
1168,7-1023,"Leaving coconut oil out on a counter, as the day grows hotter, what happens to the oil?","{'text': array(['changes from solid to wet', 'it hardens up a lot',
       'it begins to rot', 'it needs to be refrigerated'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as temperature increases , the ability of that liquid to dissolve solids will increase",0.8,1.4,b356d338b7
1169,9-780,"When a water balloon is frozen, it will contain","{'text': array(['a much less amount of water', 'a whole bunch of frozen ice-cream',
       'the same amount of water', 'a greater amount of water'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"as state of matter changes , mass will not change",0.8,1.6,7c933a44d8
1170,9-291,Where might you find eggs?,"{'text': array(['forest', 'space', 'lava', 'ocean'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,some birds live in forests,0.8,0.8,0317ce7c33
1171,100,What is more likely to have caused pollution in the air?,"{'text': array(['it developed on its own', 'a hurricane',
       'an action by a business', 'a flock of birds'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,humans cause pollution,1.0,2.0,7189327f06
1172,9-850,A sunburn is most likely to happen after hiking in a,"{'text': array(['desert', 'forest', 'wetland', 'jungle'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a desert environment usually has a lot of sunlight,1.0,1.4,c8d24331a4
1173,9-761,A lever is used to move objects that are,"{'text': array(['hefty', 'light', 'short', 'round'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a lever is used for moving heavy objects,1.0,2.0,1e6dc77bb6
1174,8-113,A boy might have brown hair due to,"{'text': array(['inheritance', 'luck', 'magic', 'fire'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the colors of the parts of an organism are inherited characteristics,1.0,2.0,0317ce7c33
1175,7-229,A specific plant is found,"{'text': array(['in some areas', 'in outer space', 'nowhere', 'in all areas'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a plant requires a specific climate to grow and survive,0.8,0.6,7189327f06
1176,9-425,What does girth in a flower do?,"{'text': array(['makes it smell better', 'makes it more beautiful',
       'decreases the stigma size', 'increases the pollenator amount'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"as the size of a flower increases , the number of pollinators it will attract increases",1.0,1.8,52dbc5c7af
1177,9-127,"if a bad wiring affected a living room floor, which of these would be safest to climb?","{'text': array(['the mahogany desk', 'the metal chair', 'the steel lamp',
       'the ceramic floor'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,wood is an electrical energy insulator,1.0,2.0,cf7109905e
1178,1509,What is an example of the fact that crop rotation renews the soil?,"{'text': array(['planting rows of carrots and peas next to one another',
       'planting peas one season then carrots the next',
       'planting a field of corn with different types in it',
       'tilling the soil in between crops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,crop rotation renews soil,1.0,2.0,b356d338b7
1179,1159,"When the old man was much younger, he still had","{'text': array(['brown eyes', 'baldness', 'gray hair', 'wrinkled skin'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,eye color is an inherited characteristic,1.0,1.4,7189327f06
1180,9-639,The Appalachians reach amazing heights because of how stone,"{'text': array(['blew up', 'piles together', 'melted lava', 'created anchors'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the Appalachians were formed by rock folding,1.0,1.4,b356d338b7
1181,8-248,An animal can do some essential things without being taught or ever seeing it done,"{'text': array(['we are unaware', 'that is negative', 'that is affirmative',
       'all of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,an animal knows how to do instinctive behaviors when it is born,0.8,0.6,cf7109905e
1182,9-314,A bear's blubber,"{'text': array(['enables him to keep his body cozy', 'enables him to eat more',
       'is useless and a burden to his health',
       'makes it more difficult for the bear to function'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,fat is used to keep animals warm,1.0,2.0,a8ecf6eaeb
1183,9-781,What would burn more quickly?,"{'text': array(['wet log', 'green leaves', 'soggy tree trunk',
       'sun dried branches'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,dry wood easily burns,1.0,2.0,c1e2e5a65e
1184,9-1148,If it starts raining acid rain you should,"{'text': array(['Go for a quick run', 'Move the car to the garage',
       'Go dancing in the rain', 'Go for a bike ride'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,acid rain has a negative impact on water quality,1.0,2.0,cee82219a0
1185,9-129,An indian hawthorn that has received more water will usually be,"{'text': array(['taller', 'older', 'less healthy', 'colder'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as the amount of water received by a plant increases , that plant will usually grow",0.8,1.6,7189327f06
1186,1575,Grey clouds are a source of,"{'text': array(['hot weather', 'electrical currents', 'falling liquids',
       'vitamin D'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,grey clouds are a source of precipitation,0.8,1.8,78e0a411ed
1187,7-1136,Which traits could be pass along using reproduction and genetic material?,"{'text': array(['nose', 'thoughts', 'money', 'habits.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,reproduction is when an organism passes genetic information from itself to its offspring,1.0,1.8,0317ce7c33
1188,7-733,Some lizards can live in,"{'text': array(['environments lacking oxygen', 'moisture deficient environments',
       'zero gravity environments', 'food barren environments'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,some lizards live in desert habitats,1.0,1.8,a8ecf6eaeb
1189,571,What are sources of shelter for small animals?,"{'text': array(['andesite', 'wind', 'sun', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,rocks are a source of shelter for small animals in an environment,1.0,2.0,be7a45e47c
1190,7-751,An example of a reusable product is,"{'text': array(['a plastic cup', 'a soda can', 'a steel cup', 'a trash bag'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,something reusable can be used more than once,0.8,1.2,b356d338b7
1191,7-722,Moving heavy objects,"{'text': array(['requires more might', 'requires little strength',
       'should be easy', 'should be avoided'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as the mass of an object increases , the force required to push that object will increase",1.0,2.0,a8ecf6eaeb
1192,9-959,Which rock is a fingernail harder than?,"{'text': array(['Copper', 'Graphite', 'Calcite', 'Quartz'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,measuring the hardness of minerals requires scratching those materials,0.8,1.8,063988c9fc
1193,9-901,The back and forth on daily routine in the sky happens how often?,"{'text': array(['one time during the single rotation', 'one cycle of the sun',
       'during the winter solstice',
       'springtime when the moon is at apex'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,cycles of day and night occur once per day,0.8,0.6,52dbc5c7af
1194,1389,What is an example of if an organism becomes too hot then that organism may die?,"{'text': array(['a dog panting under the hot sun',
       'a bear shedding fur to cool off',
       'an earthworm drying up on a sidewalk',
       'a bird stopping to rest after a long flight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,if an organism becomes too hot then that organism may die,1.0,1.8,b356d338b7
1195,8-172,"Water, while a finite resource, is renewable because","{'text': array(['water is good to drink', 'water is hard to dry up',
       'water is quite cyclical', 'water is found in trees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,water is a renewable resource,1.0,1.8,b356d338b7
1196,8-80,Flowers start die when,"{'text': array(['They are pulled from the ground', 'They are sung too',
       'They are given water', 'They have lots of sunlight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,decomposition is when a decomposer breaks down dead organisms,1.0,2.0,cee82219a0
1197,8-96,which of these apply to the values of matter vibration and sound given off?,"{'text': array(['both values are inversely proportional',
       'both values have direct proportionality',
       'both values are unrelated', 'none of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"as the amount that matter vibrates increases , sound produced increases",0.8,0.8,cf7109905e
1198,1537,The mantle is a layer of the Earth; what is something other than a layer?,"{'text': array(['crust', 'inner core', 'outer core', 'lava pit'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,the mantle is a layer of the Earth,0.8,1.6,b356d338b7
1199,9-345,What is larger then the human planet and causes cycles of day and night?,"{'text': array(['the moon', 'sun', 'ocean and', 'mars'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the sun rising and setting causes cycles of day and night,1.0,2.0,52dbc5c7af
1200,7-1064,High carbon steel contains,"{'text': array(['nickel', 'ammonia', 'Na', 'Fe'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,ferrous metals contain iron,0.8,1.4,b356d338b7
1201,9-172,Berries,"{'text': array(['should be ate when they are green', 'keep your brain clean',
       'Are only available in Canada', 'Are all very poisonous'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a berry contains seeds,1.0,0.4,cee82219a0
1202,9-202,Which of the following would be part of the water cycle?,"{'text': array(['Breaking ice up into pieces.', 'Filling a swimming pool',
       'A lake forming a cloud', 'Irrigating a corn crop'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,evaporation is a stage in the water cycle process,0.8,1.8,3f32b550f3
1203,287,What is animal competition?,"{'text': array(['wolves and bears eating salmon',
       'a shark and marlin swimming fast',
       'gazelles and zebras living on the plains',
       'an oxpecker helping a rhino'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if two animals eat the same prey then those animals compete for that pey,1.0,1.2,deb5664bc2
1204,9-649,do all insects have to undergo every stage of change before becoming full grown?,"{'text': array(['all of these', 'insects are born live',
       'pupa stage is sometimes skipped', 'pupa is a required stage'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,incomplete metamorphosis is when an insect reaches the adult stage without being a pupa,0.8,1.2,cf7109905e
1205,9-293,An example of a circuit would be,"{'text': array(['Rock climbing', 'running a mile', 'dimming a bulb',
       'swimming a lap'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"when an electrical circuit is working properly , electrical current runs through the wires in that circuit",1.0,1.8,cee82219a0
1206,1336,"What would be an example of a force acting on an object in the opposite direction that the object is moving, which would cause the object's speed to decrease in a forward motion?","{'text': array(['seven bees are flying north while a car is driving west',
       'a car is driving west with a person pushing it west',
       'a car is driving east but the sun is rising in the east',
       'a car is driving north with strong winds blowing south'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,1.0,2.0,b356d338b7
1207,7-632,When something is condensed,"{'text': array(['it is made into a wetter form', 'it is a liquid lake',
       'it becomes molten liquid', 'it is damp inside'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,condensing causes a liquid to form,0.8,1.0,b356d338b7
1208,7-389,The supply of natural gas,"{'text': array(['is renewable thru more mining',
       'depletes without replenishment with every use',
       'comes from synthetic creation',
       'should be used as much as possible'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,natural gas is a nonrenewable resource,1.0,2.0,a8ecf6eaeb
1209,241,Which of these animals might eat a steak?,"{'text': array(['Chicken', 'Lion', 'Cow', 'Buffalo'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,carnivores only eat animals,1.0,2.0,e57e0b59c9
1210,9-74,A good reason for humans to feel little fear for wild wolves is that,"{'text': array(['wolves are human', 'wolves elude humanity', 'wolves eat corn',
       'wolves are domesticated'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,animals usually distance themselves from humans,1.0,1.6,b356d338b7
1211,9-914,which of these places would most likely sustain a growing plant?,"{'text': array(['the ceramic tile in a kitchen', 'a water body front',
       'the top of a mountain', 'the bottom of a clay pit'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a riverbank is made of soil,0.8,1.8,cf7109905e
