Unnamed: 0,id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
40,9-1051,Que se passe-t-il lorsqu'un hémisphère est incliné loin du soleil?,"{'text': array(['refroidit', 'rien', 'chaleurs', 'chaudes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,l'hiver est quand un hémisphère est incliné loin du soleil,1.0,2.0,1e6dc77bb6
41,1320,Une source de combustible renouvelable est,"{'text': array(['huile végétale', 'charbon', 'combustibles fossiles',
       'combustible pétrolier'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le combustible de remplacement est généralement une ressource renouvelable,0.8,1.8,a8ecf6eaeb
42,9-676,Je peux utiliser l'énergie électrique pour,"{'text': array(['Courez un kilomètre', 'Nage', 'faire cuire un bagel', 'Escalade'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une sonnette convertit l'énergie électrique en son,1.0,2.0,cee82219a0
43,9-128,Sur la liste des objectifs d'une fleur serait de,"{'text': array(['produire du dioxyde de carbone', 'déraciner et mourir',
       'produire des descendants', 'rester stérile'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une fleur a pour but de produire des graines,1.0,1.8,a8ecf6eaeb
44,9-644,"Une personne veut acheter de l'équipement réutilisable pour la cuisine, donc ils obtiennent","{'text': array(['plaques en papier', 'plaques céramiques', 'tasses en solo',
       'fourches en plastique'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,quelque chose réutilisable peut être utilisé plusieurs fois,0.8,1.8,b356d338b7
45,7-342,La seule étape du processus du cycle de l'eau qui n'existe pas est,"{'text': array(['évaporation', 'évaluation', 'précipitations', 'condensation'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,l'évaporation est une étape du cycle de l'eau,1.0,1.8,b356d338b7
46,8-73,lequel d'entre eux survivrait le plus probablement?,"{'text': array(['un chien perdu près de la rivière, avec de petits rongeurs',
       'un chat laissé dans le désert',
       'un homme qui dérive un radeau en mer sans provisions',
       'aucune de ces'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,la capacité d'accéder aux ressources a un impact positif sur la survie d'un organisme,0.8,1.2,cf7109905e
47,7-30,La surface de la lune,"{'text': array(['est lisse sur toute la surface',
       'contient de grandes cavités causées par des explosions',
       'contient un noyau interne de fromage', 'est rempli de lacs'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,la surface de la lune contient de nombreux cratères,1.0,1.6,a8ecf6eaeb
48,1310,Greenhouses,"{'text': array(['pièger les gaz dangereux émis par les installations',
       'protéger les plantes contre la neige et le gel',
       'empêcher les plantes de se réchauffer',
       'protéger les plantes contre les intempéries'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une serre est utilisée pour protéger les plantes du froid,0.8,1.6,a8ecf6eaeb
49,1157,Causes de rotation de la Terre,"{'text': array(['le cyclisme des AM et des PM',
       'la création des éruptions volcaniques', 'le cycle des marées',
       'la création de gravité'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une planète tournante provoque des cycles de jour et de nuit sur cette planète,1.0,1.8,a8ecf6eaeb
50,9-672,lequel d'entre eux peut aider une personne à cuisiner?,"{'text': array(['une pile de vêtements', 'une pile de boîtes',
       'un paquet de cigarettes', 'un appareil de cuisson à comptoir'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un poêle génère de la chaleur pour la cuisson,1.0,2.0,cf7109905e
51,8-203,La lumière du soleil produit de la chaleur,"{'text': array(['chiens à écorce', 'pierres à former', 'chaleur sur les corps',
       'plastique à former'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,la lumière du soleil produit de la chaleur,1.0,2.0,4069604f6c
52,8-37,avec qui pourriez-vous dire la taille exacte d'un objet?,"{'text': array(['un bâton uni de forme irrégulière',
       'un ruban plastique avec marquage gradué',
       'un thermomètre contenant du mercure',
       'une cuillère de cuisson en métal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,une mesure de bande est utilisée pour mesurer la longueur,1.0,2.0,cf7109905e
53,1875,Quel serait le résultat de l'élevage de deux loups?,"{'text': array(['chatons', 'petits loups', 'petits renards', 'petits chiens'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,reproduction produit la progéniture,1.0,2.0,303bb2cb4a
54,7-678,Échelles,"{'text': array([""mesurer la quantité de graisse du ventre que l'utilisateur a"",
       ""mesure de la hauteur de l'utilisateur"",
       ""aider les utilisateurs à savoir s'ils ont besoin de laisser tomber quelques livres."",
       'aider les utilisateurs à déterminer leur glycémie'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une échelle est utilisée pour mesurer le poids,1.0,2.0,a8ecf6eaeb
55,7-156,"Lorsque les producteurs créent des aliments dans un écosystème, une partie des nutriments sont","{'text': array(['carbures', 'énergie', 'graminées', 'fleurs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un producteur est une source de sucre dans un écosystème,0.8,1.0,b356d338b7
56,9-441,Deux bateaux se paissent comme ils passeront,"{'text': array(['provoquer le chaos', 'les couler', 'les accélérer',
       'ralentissez-les'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,friction agit pour contrer le mouvement de deux objets lorsque leurs surfaces touchent,0.8,1.6,dc78319bb0
57,278,Une batterie convertit l'énergie chimique en,"{'text': array(['énergie stockée en raison de la position relative des particules chargées ou des champs électriques',
       'énergie stockée en raison du bombardement de particules',
       'énergie stockée entre les cellules de particules non adjacentes',
       'énergie qui se décompose en particules'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une batterie convertit l'énergie chimique en énergie électrique,1.0,1.8,b7b9b1d4ec
58,9-373,Les feuilles d'une plante en bénéficient ?,"{'text': array(['chien', 'soleil', 'humains', 'poussière'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,la chlorophylle est utilisée pour absorber l'énergie lumineuse par les plantes,1.0,2.0,0317ce7c33
59,7-16,Quartz peut produire des arcs-en-ciel quand la lumière brille,"{'text': array(['autour de la zone du cristal', ""par l'un de ses côtés"",
       'dans la chambre', 'dans un miroir à lui'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,un quartz est fait de cristaux transparents à six faces,1.0,1.2,b356d338b7
60,8-264,"Une femme creuse sous un arbre sur une haute montagne. Elle cherche des roches intéressantes, et un pied dans le sol, découvre un squelette de poisson fossilisé. De cette découverte, la femme est capable de déterminer que","{'text': array([""la montagne était sous l'eau"",
       'certains ours en montagne mangent du poisson',
       'certains poissons peuvent grimper des montagnes',
       'parfois la pluie peut déplacer le poisson vers des espaces élevés'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"si des fossiles d'un animal ou d'une plante d'eau se trouvent dans un endroit, alors ce lieu était couvert par l'eau dans le passé",0.8,1.8,b356d338b7
61,814,Quel animal n'est pas capable de voir en sentant la lumière?,"{'text': array(['Écrevisse de la grotte sud', 'homard', 'morue', 'saumon'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les yeux sont utilisés pour voir les animaux par la détection de la lumière,0.8,1.6,be7a45e47c
62,9-1116,Quel animal émet quelque chose auquel beaucoup de gens autistes seraient très sensibles ?,"{'text': array(['vache', 'chien', 'chat', 'mousse'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un skunk produit une mauvaise odeur,0.8,0.8,df774267ec
63,9-218,lequel d'entre eux se produit habituellement pendant la période la plus courte?,"{'text': array(['un tremblement de terre de super taille',
       'une chute de pluie torrentielle', 'tous ces',
       ""l'éruption d'un volcan""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un tremblement de terre survient habituellement sur une période de 10 à 30 secondes,1.0,1.4,cf7109905e
64,9-200,"Si le soleil est couché, c'est","{'text': array(['facile à cuisiner un repas',
       'le temps de manger le petit déjeuner',
       'nécessaire pour porter un manteau',
       ""plus difficile à voir à l'extérieur""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,si c'est la nuit alors le soleil s'est couché,1.0,1.2,c8d24331a4
65,7-282,Une loupe,"{'text': array([""permettrait à l'utilisateur de mieux voir les jambes sur une fourmi"",
       ""améliorerait l'odeur d'un spécimen vu"",
       ""brouillerait les jambes d'une fourmi"",
       ""améliorerait le sentiment de l'utilisateur""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,la loupe est utilisée pour voir les petites choses en rendant les objets plus grands,1.0,2.0,a8ecf6eaeb
66,9-207,Que font les palettes tournantes sur un ventilateur électrique pour l'air?,"{'text': array(['amortisseur', 'circuler', 'frais', 'chaud'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,les vanes tournant dans un ventilateur électrique font bouger l'air,0.8,1.8,1e6dc77bb6
67,8-408,Un animal aurait ses parties intérieures mieux protégées s'il avait lequel de ces éléments?,"{'text': array(['un sac à dos sur le dos',
       'une structure interne enrichie en calcium', 'aucune de ces',
       'une coquille de coton'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,le système squelettique protège les organes internes,1.0,2.0,cf7109905e
68,1891,Les plantes en ont besoin pour se développer,"{'text': array(['engrais', 'températures fraîches', 'matières non organiques',
       'H2O'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,une plante a besoin d'eau pour se développer,0.8,1.4,123d66ccd7
69,7-969,Ressources renouvelables,"{'text': array(['proviennent souvent de combustibles fossiles',
       'prendre des siècles à biodégrader',
       'peut être utilisé ad infinium', 'doit être utilisé avec prudence'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les ressources renouvelables peuvent être réutilisées,1.0,2.0,a8ecf6eaeb
70,8-124,une journée de randonnée aura probablement pour résultat lequel de ces?,"{'text': array(['une pâleur de la peau', 'un verdissement de la peau',
       'un ton encore plus foncé', 'aucune de ces'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,si quelque chose est dehors pendant la journée alors que quelque chose recevra du soleil,1.0,1.2,cf7109905e
71,1288,Réfraction,"{'text': array(['fait que les objets semblent être deux fois leur taille',
       ""déplace l'énergie thermique par ondes sonores"",
       'est le phénomène impliqué dans les miroirs',
       ""fait apparaître une paille cassée dans une tasse d'eau""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la réfraction provoque quelque chose à regarder différemment,1.0,1.0,a8ecf6eaeb
72,9-836,qui peut être considéré comme une étape du cycle de l'eau?,"{'text': array(['tous ces', 'la combinaison des clous et des marteaux',
       'la présence de H20', 'la combinaison du chlore et du gaz'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,la condensation est une étape du processus de cycle de l'eau,1.0,1.8,cf7109905e
73,9-725,Lequel de ces articles est nécessaire pour qu'un cerf vive,"{'text': array(['soleil', 'fer', 'sable', 'cafétéria'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le soleil est la source d'énergie pour la vie sur Terre,1.0,2.0,0317ce7c33
74,9-973,Où est le meilleur endroit pour tirer sur les animaux?,"{'text': array(['parc national', 'ciel', 'forêt', 'mer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les parcs nationaux limitent la chasse,1.0,1.2,0317ce7c33
75,7-892,Les araignées peuvent attraper des proies en faisant tout à part,"{'text': array(['construire des toiles', 'pièges de construction', 'chasse',
       'hurlement'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,une toile d'araignée est utilisée pour capturer la nourriture par les araignées,0.8,1.8,b356d338b7
76,112,Quand l'électricité traverse-t-elle un conducteur?,"{'text': array([""quand il est dehors autour de l'éclairage"",
       'quand il est attaché à une batterie',
       'quand il est attaché à un humain',
       ""quand il est près d'une ampoule""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,l'envoi d'électricité par un conducteur provoque le flux d'électricité par ce conducteur,0.8,1.6,7189327f06
77,9-608,Je peux utiliser un chronomètre pour suivre,"{'text': array([""Le nombre de taches de rousseurs que j'ai sur le dos"",
       'Combien de temps la route est longue',
       'Ma perte de poids en 6 mois',
       'combien de guimauves Je peux manger dans 10 minutes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un chronomètre est utilisé pour mesurer le temps,1.0,2.0,cee82219a0
78,306,"Si John allait au magasin, comment mesurerait-il son voyage ?","{'text': array(['kilomètre', 'centimètre', 'décamètre', 'compteur'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,kilomètres km sont une unité utilisée pour mesurer la distance généralement utilisée pour des valeurs comprises entre 1 et 50000000,0.8,1.2,9d751854d9
79,9-97,Un homme branche sa télévision dans une prise derrière une armoire. Il voit que la télévision peut maintenant être allumée pour qu'il puisse regarder son émission préférée. L'homme sait qu'en accrochant le cordon t.v. dans la sortie,"{'text': array(['il a fait un tour', 'il a fait une bonne affaire',
       'il a inventé de nouveaux circuits', 'il a complété un circuit'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"lorsqu'un conducteur électrique est branché dans une prise, un circuit est complété",1.0,2.0,b356d338b7
80,9-625,Quel type d'énergie est le plus respectueux de l'environnement?,"{'text': array(['Charbon', 'Pétrole', 'Gaz naturel', 'Lumière du soleil'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,l'énergie solaire est une ressource renouvelable,1.0,2.0,8cb5b0688e
81,8-446,Quelle forme peut être faite en triangle ?,"{'text': array(['glace', 'vapeur', 'eau', 'eau salée'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,La matière en phase solide a une forme définie,1.0,2.0,a9f90f5da1
82,9-451,qui verrait mieux dans un tunnel souterrain ?,"{'text': array(['un garçon avec un stylo', 'un homme avec un bâton',
       'un homme avec une cuillère', 'un homme avec une bougie et match'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,une bougie est une source de lumière lorsqu'elle est brûlée,1.0,2.0,cf7109905e
